rcp26,rcp45,rcp60,rcp85,basetemp
12.39319897,12.5549843,12.62834163,12.8633107,12.24162595
12.40835627,12.58632014,12.66701319,12.92547918,12.24162595
12.42351357,12.61765598,12.70568476,12.98764765,12.24162595
12.43867088,12.64899181,12.74435633,13.04981613,12.24162595
12.45382818,12.68032765,12.7830279,13.1119846,12.24162595
12.46898548,12.71166348,12.82169947,13.17415308,12.24162595
12.48414278,12.74299932,12.86037103,13.23632155,12.24162595
12.49930008,12.77433515,12.8990426,13.29849003,12.24162595
12.51445739,12.80567099,12.93771417,13.3606585,12.24162595
12.52961469,12.83700682,12.97638574,13.42282698,12.24162595
12.54477199,12.86834266,13.0150573,13.48499545,12.24162595
12.55992929,12.8996785,13.05372887,13.54716393,12.24162595
12.57508659,12.93101433,13.09240044,13.6093324,12.24162595
12.5902439,12.96235017,13.13107201,13.67150088,12.24162595
12.6054012,12.993686,13.16974358,13.73366935,12.24162595
12.6205585,13.02502184,13.20841514,13.79583783,12.24162595
12.6357158,13.05635767,13.24708671,13.8580063,12.24162595
12.6508731,13.08769351,13.28575828,13.92017478,12.24162595
12.66603041,13.11902934,13.32442985,13.98234325,12.24162595
12.68118771,13.15036518,13.36310141,14.04451173,12.24162595
12.69634501,13.18170102,13.40177298,14.1066802,12.24162595
12.71150231,13.21303685,13.44044455,14.16884868,12.24162595
12.72665962,13.24437269,13.47911612,14.23101715,12.24162595
12.74181692,13.27570852,13.51778769,14.29318563,12.24162595
12.75697422,13.30704436,13.55645925,14.3553541,12.24162595
12.77213152,13.33838019,13.59513082,14.41752258,12.24162595
12.78728882,13.36971603,13.63380239,14.47969106,12.24162595
12.80244613,13.40105186,13.67247396,14.54185953,12.24162595
12.81760343,13.4323877,13.71114552,14.60402801,12.24162595
12.83276073,13.46372354,13.74981709,14.66619648,12.24162595
12.84791803,13.49505937,13.78848866,14.72836496,12.24162595
12.86307533,13.52639521,13.82716023,14.79053343,12.24162595
12.87823264,13.55773104,13.8658318,14.85270191,12.24162595
12.89338994,13.58906688,13.90450336,14.91487038,12.24162595
12.90854724,13.62040271,13.94317493,14.97703886,12.24162595
12.92370454,13.65173855,13.9818465,15.03920733,12.24162595
12.93886184,13.68307438,14.02051807,15.10137581,12.24162595
12.95401915,13.71441022,14.05918963,15.16354428,12.24162595
12.96917645,13.74574606,14.0978612,15.22571276,12.24162595
12.98433375,13.77708189,14.13653277,15.28788123,12.24162595
12.99949105,13.80841773,14.17520434,15.35004971,12.24162595
13.01464835,13.83975356,14.21387591,15.41221818,12.24162595
13.02980566,13.8710894,14.25254747,15.47438666,12.24162595
13.04496296,13.90242523,14.29121904,15.53655513,12.24162595
13.06012026,13.93376107,14.32989061,15.59872361,12.24162595
13.07527756,13.9650969,14.36856218,15.66089208,12.24162595
13.09043486,13.99643274,14.40723374,15.72306056,12.24162595
13.10559217,14.02776858,14.44590531,15.78522903,12.24162595
13.12074947,14.05910441,14.48457688,15.84739751,12.24162595
13.13590677,14.09044025,14.52324845,15.90956598,12.24162595
13.15106407,14.12177608,14.56192001,15.97173446,12.24162595
13.16622137,14.15311192,14.60059158,16.03390293,12.24162595
13.18137868,14.18444775,14.63926315,16.09607141,12.24162595
13.19653598,14.21578359,14.67793472,16.15823988,12.24162595
13.21169328,14.24711942,14.71660629,16.22040836,12.24162595
13.22685058,14.27845526,14.75527785,16.28257683,12.24162595
13.24200789,14.3097911,14.79394942,16.34474531,12.24162595
13.25716519,14.34112693,14.83262099,16.40691379,12.24162595
13.27232249,14.37246277,14.87129256,16.46908226,12.24162595
13.28747979,14.4037986,14.90996412,16.53125074,12.24162595
13.30263709,14.43513444,14.94863569,16.59341921,12.24162595
13.3177944,14.46647027,14.98730726,16.65558769,12.24162595
13.3329517,14.49780611,15.02597883,16.71775616,12.24162595
13.348109,14.52914194,15.0646504,16.77992464,12.24162595
13.3632663,14.56047778,15.10332196,16.84209311,12.24162595
13.3784236,14.59181362,15.14199353,16.90426159,12.24162595
13.39358091,14.62314945,15.1806651,16.96643006,12.24162595
13.40873821,14.65448529,15.21933667,17.02859854,12.24162595
13.42389551,14.68582112,15.25800823,17.09076701,12.24162595
13.43905281,14.71715696,15.2966798,17.15293549,12.24162595
13.45421011,14.74849279,15.33535137,17.21510396,12.24162595
13.46936742,14.77982863,15.37402294,17.27727244,12.24162595
13.48452472,14.81116446,15.41269451,17.33944091,12.24162595
13.49968202,14.8425003,15.45136607,17.40160939,12.24162595
13.51483932,14.87383614,15.49003764,17.46377786,12.24162595
13.52999662,14.90517197,15.52870921,17.52594634,12.24162595
13.54515393,14.93650781,15.56738078,17.58811481,12.24162595
13.56031123,14.96784364,15.60605234,17.65028329,12.24162595
13.57546853,14.99917948,15.64472391,17.71245176,12.24162595
13.59062583,15.03051531,15.68339548,17.77462024,12.24162595
13.60578313,15.06185115,15.72206705,17.83678871,12.24162595
22.0914738,22.20006831,22.25569198,22.45109165,21.97524248
22.10309693,22.2225509,22.28373693,22.49867657,21.97524248
22.11472007,22.24503348,22.31178188,22.54626149,21.97524248
22.1263432,22.26751606,22.33982683,22.59384641,21.97524248
22.13796633,22.28999865,22.36787178,22.64143132,21.97524248
22.14958946,22.31248123,22.39591673,22.68901624,21.97524248
22.1612126,22.33496381,22.42396168,22.73660116,21.97524248
22.17283573,22.3574464,22.45200663,22.78418608,21.97524248
22.18445886,22.37992898,22.48005158,22.83177099,21.97524248
22.19608199,22.40241156,22.50809653,22.87935591,21.97524248
22.20770512,22.42489415,22.53614148,22.92694083,21.97524248
22.21932826,22.44737673,22.56418643,22.97452575,21.97524248
22.23095139,22.46985931,22.59223138,23.02211067,21.97524248
22.24257452,22.4923419,22.62027633,23.06969558,21.97524248
22.25419765,22.51482448,22.64832128,23.1172805,21.97524248
22.26582079,22.53730706,22.67636623,23.16486542,21.97524248
22.27744392,22.55978965,22.70441118,23.21245034,21.97524248
22.28906705,22.58227223,22.73245613,23.26003525,21.97524248
22.30069018,22.60475481,22.76050108,23.30762017,21.97524248
22.31231332,22.6272374,22.78854603,23.35520509,21.97524248
22.32393645,22.64971998,22.81659098,23.40279001,21.97524248
22.33555958,22.67220256,22.84463593,23.45037492,21.97524248
22.34718271,22.69468515,22.87268088,23.49795984,21.97524248
22.35880584,22.71716773,22.90072583,23.54554476,21.97524248
22.37042898,22.73965031,22.92877078,23.59312968,21.97524248
22.38205211,22.7621329,22.95681573,23.64071459,21.97524248
22.39367524,22.78461548,22.98486068,23.68829951,21.97524248
22.40529837,22.80709806,23.01290563,23.73588443,21.97524248
22.41692151,22.82958065,23.04095058,23.78346935,21.97524248
22.42854464,22.85206323,23.06899553,23.83105426,21.97524248
22.44016777,22.87454581,23.09704048,23.87863918,21.97524248
22.4517909,22.8970284,23.12508543,23.9262241,21.97524248
22.46341404,22.91951098,23.15313038,23.97380902,21.97524248
22.47503717,22.94199357,23.18117533,24.02139393,21.97524248
22.4866603,22.96447615,23.20922029,24.06897885,21.97524248
22.49828343,22.98695873,23.23726524,24.11656377,21.97524248
22.50990656,23.00944132,23.26531019,24.16414869,21.97524248
22.5215297,23.0319239,23.29335514,24.2117336,21.97524248
22.53315283,23.05440648,23.32140009,24.25931852,21.97524248
22.54477596,23.07688907,23.34944504,24.30690344,21.97524248
22.55639909,23.09937165,23.37748999,24.35448836,21.97524248
